"pacto";"comuna";"votacion";"n_candidatos";"p_votacion";"voto_w";"p_candidatos";"voto_w2";"no_pobres";"pobres";"p_pobreza"
"Apruebo Dignidad";"EL QUISCO";1680;8;0,00475762792680243;7,99281491702809;0,00377714825306893;0,030190046900956;15141;3891;0,204445145018916
"Apruebo Dignidad";"EL TABO";1330;8;0,00376645544205193;5,00938573792906;0,00377714825306893;0,0189211925889672;14369;200;0,0137277781591049
"Apruebo Dignidad";"EMPEDRADO";399;8;0,00112993663261558;0,450844716413616;0,00377714825306893;0,00170290733300705;2397;1319;0,354951560818084
"Apruebo Dignidad";"ERCILLA";399;8;0,00112993663261558;0,450844716413616;0,00377714825306893;0,00170290733300705;4353;4284;0,496005557485238
"Apruebo Dignidad";"ESTACION CENTRAL";2138,827;8;0,00605698992011849;12,9548535798773;0,00377714825306893;0,0489324025679973;64645;20572;0,241407230951571
"Apruebo Dignidad";"FLORIDA";375;8;0,00106197051937554;0,398238944765829;0,00377714825306893;0,00150420753452627;5275;3691;0,411666294891814
"Apruebo Dignidad";"FREIRE";465;5;0,00131684344402567;0,612332201471938;0,00236071765816808;0,00144554344067974;17467;8187;0,319131519451158
"Apruebo Dignidad";"FREIRINA";375;3;0,00106197051937554;0,398238944765829;0,00141643059490085;0,00056407782544735;3950;1719;0,303228082554242
"Apruebo Dignidad";"FRESIA";148,075;6;0,000419336759084089;0,0620932906013765;0,0028328611898017;0,000175901673091718;7635;3158;0,292597053645882
"Apruebo Dignidad";"FRUTILLAR";708;6;0,00200500034058103;1,41954024113137;0,0028328611898017;0,00402136045646279;12883;4959;0,277939692859545
"Apruebo Dignidad";"FUTRONO";267;6;0,000756123009795387;0,201884843615368;0,0028328611898017;0,000571911738287162;9023;5751;0,389264924868011
"Apruebo Dignidad";"GALVARINO";80;1;0,000226553710800116;0,0181242968640093;0,000472143531633617;8,55726952974942e-06;5312;3925;0,424921511313197
"Apruebo Dignidad";"GORBEA";477;5;0,00135082650064569;0,644344240807994;0,00236071765816808;0,00152111482721434;10983;3344;0,233405458225728
"Apruebo Dignidad";"GRANEROS";900;6;0,0025487292465013;2,29385632185117;0,0028328611898017;0,00649817654915347;26552;5953;0,183141055222274
"Apruebo Dignidad";"HIJUELAS";1101;9;0,00311794544488659;3,43285793482014;0,00424929178470255;0,0145872150204822;12139;7156;0,370873283233998
"Apruebo Dignidad";"HUALANE";403;8;0,00114126431815558;0,4599295202167;0,00377714825306893;0,00173722198382134;8855;930;0,0950434338272867
"Apruebo Dignidad";"HUALPEN";2473,375;8;0,00700440355562796;17,3245166444013;0,00377714825306893;0,065437267778664;69987;9146;0,115577571935855
"Apruebo Dignidad";"HUALQUI";918;8;0,00259970383143133;2,38652811725396;0,00377714825306893;0,00901427050898569;19233;4222;0,180004263483266
"Apruebo Dignidad";"HUARA";350;6;0,000991172484750507;0,346910369662677;0,0028328611898017;0,00098274892255716;1546;1852;0,545026486168334
